20220401	14:06:54	430b088f-6ac5-442c-b329-787432874443	/new-page.html	GET
20220401	14:06:54	4b215048-a462-43c7-aed3-96d53320bfa8	/css/style.css	GET
20220401	14:06:54	6e006a2f-11d5-4ace-aa7e-10e9574793aa	/img/img1.jpg	GET
20220401	14:06:54	52a860f8-74db-4fd0-b07f-31e3c616cfdf	/favicon.ico	GET
20220401	14:06:54	93cf5fa0-8f50-4c2c-bb49-528294157787	/favicon.ico	GET
20220401	14:06:55	ff1e926e-12c3-4d82-ab63-faaf1eadd03e	/favicon.ico	GET
20220401	14:08:03	7cb371d2-ed57-4561-97a4-5fbdcc1eb0ea	/subdir/	GET
20220401	14:08:12	92a6b5eb-a1cc-4032-9ad7-a61f4581185f	/subdir	GET
20220401	14:08:12	b45d6547-dc14-42dc-a9e2-96ea3e34b36f	/css/style.css	GET
20220401	14:08:12	76842aef-51d5-4613-960f-39c154f3095c	/favicon.ico	GET
20220401	14:08:13	69b26d6b-d2ba-49d2-918b-fedc9d5de670	/favicon.ico	GET
20220401	14:08:27	490ed1a4-d04e-44b0-ae9d-3eaf21d2b07d	/subdir/	GET
20220401	14:13:04	6e717024-9046-431b-b808-784a4d70fcb3	/subdir/	GET
20220401	14:13:04	5f6ccc14-7b1b-4088-9218-8460254da790	/favicon.ico	GET
20220401	14:13:05	37ea8c89-1c19-438f-8718-fb0f3968f85b	/favicon.ico	GET
20220401	14:14:05	0510246b-2bb5-48ee-94f1-5b29b7c10ba3	/	GET
20220401	14:14:05	1b4f300e-4845-4e4c-b19e-8ab1ff280a7e	/css/style.css	GET
20220401	14:14:05	7b6e45ef-c360-488f-bfa6-12e1e03f8c15	/favicon.ico	GET
20220401	14:14:06	1582b8cb-4953-489c-8c29-d96560d8f28a	/favicon.ico	GET
20220404	11:29:11	5398320f-cf09-449d-96ee-a7a9c0f735f8	GET	undefined	/
20220404	11:29:11	60cde506-2b18-47fa-aa7f-0501fb7b5a61	GET	undefined	/css/style.css
20220404	11:29:11	d78a4e31-a4bb-4b6e-8bf9-b503d010a159	GET	undefined	/favicon.ico
20220404	11:29:12	4be1c44d-1ed9-49de-9dda-654d579dc6c3	GET	undefined	/favicon.ico
20220404	11:30:03	defed2f1-d6e4-4ff8-aca0-7dd90eb11809	GET	undefined	/
20220404	11:30:03	c1eca274-d293-402d-a88d-52e4ba0fbe0a	GET	undefined	/css/style.css
20220404	11:30:03	770842fb-7fa6-4415-a32e-d620347c7960	GET	undefined	/
20220404	11:30:03	103b3a98-89b7-4486-9714-51e1a5bd88b2	GET	undefined	/
20220404	11:30:04	0c73c36e-80a4-484f-bde5-fe0213e5b703	GET	undefined	/
20220404	11:32:53	edb8a545-da51-4e28-bc1a-aa2c7ab14cd5	GET	undefined	/
20220404	11:32:53	a45fd822-8a21-42c5-a4df-9ffa2614356d	GET	undefined	/css/style.css
20220404	11:32:53	72917775-b7d6-4b4f-bf46-63c3b18fdaa1	GET	undefined	/
20220404	11:32:53	a16b6676-1bac-4a79-9ba2-ae0639d7d120	GET	undefined	/
20220404	11:32:54	df7a3e41-e1ce-4c09-aec7-402b138dd5f0	GET	undefined	/
20220404	11:33:35	43ec2e5c-59fb-4659-baac-78eeb875737a	GET	https://www.google.com	/
20220404	11:35:57	b44c64ba-4b92-4214-aaaa-a8b5ab9766c6	GET	https://www.google.com	/
20220404	11:45:04	782577af-e6ee-46ee-8a20-422e80bb33de	GET	https://www.google.com	/
20220404	11:45:35	a1cf12d3-1589-498b-8cdc-ec7bbaa20cd2	GET	https://www.google.com	/
20220404	11:46:30	1ddf6952-4b44-43da-a3a2-0d319a35c947	GET	https://www.google.com	/
20220404	11:50:05	66117d2e-b09b-4384-b52e-532db583ec9a	GET	undefined	/
20220404	11:50:05	9fd6af56-b7be-49cc-8f29-8d02455f5761	GET	undefined	/favicon.ico
20220404	11:50:06	8d2e8d43-385f-4d32-9c50-e3c5d9537efd	GET	undefined	/favicon.ico
